3396,Social Democrata,Tasso Jereissati,Senador,PSDB,CE,2015 - 2023,tasso.jereissati@senador.leg.br
4697,Apoio ao Governo,Angela Portela,Senadora,PT,RR,2011 - 2019,angela.portela@senadora.leg.br
3713,Apoio ao Governo,Fátima Bezerra,Senadora,PT,RN,2015 - 2023,fatima.bezerra@senadora.leg.br
5006,Apoio ao Governo,Gleisi Hoffmann,Senadora,PT,PR,2011 - 2019,gleisi@senadora.leg.br
5008,Apoio ao Governo,Humberto Costa,Senador,PT,PE,2011 - 2019,humberto.costa@senador.leg.br
4990,Apoio ao Governo,Jorge Viana,Senador,PT,AC,2011 - 2019,jorge.viana@senador.leg.br
615,Apoio ao Governo,José Pimentel,Senador,PT,CE,2011 - 2019,jose.pimentel@senador.leg.br
3695,Apoio ao Governo,Lindbergh Farias,Senador,PT,RJ,2011 - 2019,lindbergh.farias@senador.leg.br
825,Apoio ao Governo,Paulo Paim,Senador,PT,RS,2011 - 2019,paulopaim@senador.leg.br
374,Apoio ao Governo,Paulo Rocha,Senador,PT,PA,2015 - 2023,paulo.rocha@senador.leg.br
5182,Apoio ao Governo,Regina Sousa,Senadora,PT,PI,2011 - 2019,reginasousa@senadora.leg.br
715,Moderador,Armando Monteiro,Senador,PTB,PE,2011 - 2019,armando.monteiro@senador.leg.br
5531,Moderador,Elmano Férrer,Senador,PTB,PI,2015 - 2023,elmano.ferrer@senador.leg.br
5144,Moderador,Zeze Perrella,Senador,PTB,MG,2011 - 2019,zeze.perrella@senador.leg.br
4525,Moderador,Fernando Collor,Senador,PTC,AL,2015 - 2023,fernando.collor@senador.leg.br
945,Social Democrata,Alvaro Dias,Senador,PV,PR,2015 - 2023,alvarodias@senador.leg.br
5012,Parlamentar Socialismo e Democracia,Randolfe Rodrigues,Senador,REDE,AP,2011 - 2019,randolfe.rodrigues@senador.leg.br
5236,Sem bloco,Reguffe,Senador,S.Partido,DF,2015 - 2023,reguffe@senador.leg.br
